DANH SÁCH CÁC ĐƠN VỊ CÔNG AN TRONG TỈNH,,,
Stt ,Đơn vị,Ghi chú,
,,,
1,CAP Âu Cơ,,
2,CAP Hòa Bình,,
3,CAP Kỳ Sơn,,
4,CAP Nông Trang,,
5,CAP Phong Châu,,
6,CAP Phú Thọ,,
7,CAP Phúc Yên,,
8,CAP Tân Hòa,,
9,CAP Thanh Miếu,,
10,CAP Thống Nhất,,
11,CAP Vân Phú,,
12,CAP Việt Trì,,
13,CAP Vĩnh Phúc,,
14,CAP Vĩnh Yên,,
15,CAP Xuân Hòa,,
16,CAX An Bình,,
17,CAX An Nghĩa,,
18,CAX Bản Nguyên,,
19,CAX Bằng Luân,,
20,CAX Bao La,,
21,CAX Bình Nguyên,,
22,CAX Bình Phú,,
23,CAX Bình Tuyền,,
24,CAX Bình Xuyên,,
25,CAX Cẩm Khê,,
26,CAX Cao Dương,,
27,CAX Cao Phong,,
28,CAX Cao Sơn,,
29,CAX Chân Mộng,,
30,CAX Chí Đám,,
31,CAX Chí Tiên,,
32,CAX Cự Đồng,,
33,CAX Đà Bắc,,
34,CAX Đại Đình,,
35,CAX Đại Đồng,,
36,CAX Dân Chủ,,
37,CAX Đan Thượng,,
38,CAX Đạo Trù,,
39,CAX Đào Xá,,
40,CAX Đoan Hùng,,
41,CAX Đồng Lương,,
42,CAX Đông Thành,,
43,CAX Đức Nhàn,,
44,CAX Dũng Tiến,,
45,CAX Hạ Hoà,,
46,CAX Hải Lựu,,
47,CAX Hiền Lương,,
48,CAX Hiền Quan,,
49,CAX Hoàng An,,
50,CAX Hoàng Cương,,
51,CAX Hội Thịnh,,
52,CAX Hợp Kim,,
53,CAX Hợp Lý,,
54,CAX Hùng Việt,,
55,CAX Hương Cần,,
56,CAX Hy Cương,,
57,CAX Khả Cửu,,
58,CAX Kim Bôi,,
59,CAX Lạc Lương,,
60,CAX Lạc Sơn,,
61,CAX Lạc Thủy,,
62,CAX Lai Đồng,,
63,CAX Lâm Thao,,
64,CAX Lập Thạch,,
65,CAX Liên Châu,,
66,CAX Liên Hòa,,
67,CAX Liên Minh,,
68,CAX Liên Sơn,,
69,CAX Long Cốc,,
70,CAX Lương Sơn,,
71,CAX Mai Châu,,
72,CAX Mai Hạ,,
73,CAX Minh Đài,,
74,CAX Minh Hoà,,
75,CAX Mường Bi,,
76,CAX Mường Động,,
77,CAX Mường Hoa,,
78,CAX Mường Thàng,,
79,CAX Mường Vang,,
80,CAX Nật Sơn,,
81,CAX Ngọc Sơn,,
82,CAX Nguyệt Đức,,
83,CAX Nhân Nghĩa,,
84,CAX Pà Cò,,
85,CAX Phú Khê,,
86,CAX Phú Mỹ,,
87,CAX Phù Ninh,,
88,CAX Phùng Nguyên,,
89,CAX Quảng Yên,,
90,CAX Quy Đức,,
91,CAX Quyết Thắng,,
92,CAX Sơn Đông,,
93,CAX Sơn Lương,,
94,CAX Sông Lô,,
95,CAX Tam Đảo,,
96,CAX Tam Dương,,
97,CAX Tam Dương Bắc,,
98,CAX Tam Hồng,,
99,CAX Tam Nông ,,
100,CAX Tam Sơn,,
101,CAX Tân Lạc,,
102,CAX Tân Mai,,
103,CAX Tân Pheo,,
104,CAX Tân Sơn,,
105,CAX Tây Cốc,,
106,CAX Tề Lỗ,,
107,CAX Thái Hòa,,
108,CAX Thanh Ba,,
109,CAX Thanh Sơn,,
110,CAX Thanh Thuỷ,,
111,CAX Thịnh Minh,,
112,CAX Thổ Tang,,
113,CAX Thọ Văn,,
114,CAX Thu Cúc,,
115,CAX Thung Nai,,
116,CAX Thượng Cốc,,
117,CAX Thượng Long,,
118,CAX Tiên Lữ,,
119,CAX Tiên Lương,,
120,CAX Tiền Phong,,
121,CAX Toàn Thắng,,
122,CAX Trạm Thản,,
123,CAX Trung Sơn,,
124,CAX Tu Vũ,,
125,CAX Văn Bán,,
126,CAX Văn Lang,,
127,CAX Văn Miếu,,
128,CAX Vân Sơn,,
129,CAX Vạn Xuân,,
130,CAX Vĩnh An,,
131,CAX Vĩnh Chân,,
132,CAX Vĩnh Hưng,,
133,CAX Vĩnh Phú,,
134,CAX Vĩnh Thành,,
135,CAX Vĩnh Tường,,
136,CAX Võ Miếu,,
137,CAX Xuân Đài,,
138,CAX Xuân Lãng,,
139,CAX Xuân Lũng,,
140,CAX Xuân Viên,,
141,CAX Yên Kỳ,,
142,CAX Yên Lạc,,
143,CAX Yên Lãng,,
144,CAX Yên Lập,,
145,CAX Yên Phú,,
146,CAX Yên Sơn,,
147,CAX Yên Thủy,,
148,CAX Yên Trị,,
149,PA01,,
150,PA02,,
151,PA03,,
152,PA04,,
153,PA05,,
154,PA06,,
155,PA08,,
156,PA09,,
157,PC01,,
158,PC02,,
159,PC03,,
160,PC04,,
161,PC06,,
162,PC07,,
163,PC08,,
164,PC09,,
165,PC10,,
166,PK02,,
167,TTG 1,,
168,TTG 2,,
169,TTG 3,,
170,PV01,,
171,PV06,,
172,PX01,,
173,PX03,,
174,PX05,,
175,PX06,,
176,PH06,,
177,PH10,,
,,,
,,,
